,reviews
157,"Chivas's new entry into the premium blend category. A complex whisky (on the nose and palate) in the same vein as Chivas 18, only deeper, with more caramelized sweetness, darker fruit, and greater emphasis on dried spices and roasted nuts (and perhaps even tobacco). Everything moves along nicely -- and entertainingly -- until the whisky approaches the finish on the palate. Its age begins to show, as spicy oak dryness and suggestions of polished leather begin to dominate through to the finish. An enjoyable whisky, but I prefer the 18 year old to the 25 year old for its impeccable balance."
158,"An example that older, more expensive isn’t always better, this 18 year old gem is as good as many blends twice its price. The foundation of Johnnie Walker Gold is delicate, clean, and honeyed, along with a fresh sea character (from Clynelish?) that provides a youthful zing. Notes of vanilla, shortbread, tropical fruit, freshly cut hay, marshmallow, and even a hit of peat, round out the palate. Its finish is subtly complex and nicely balanced. The blend has improved nicely over the past several years. 
"
159,"The aromas can be split into four; fresh fruits (raspberry, blueberry), desserts (vanilla custard, bread and butter pudding), antique shop (polished furniture, well-oiled moving parts), and stewed fruits (apple, rhubarb, some old orange peel). Wisps of balsa wood smoke; tangy orange notes build, accompanied by those fresh fruits, sweet oak, aniseed, and white pepper ending on black treacle and gingerbread. The finish is epically long; dry, floral, with parkin, residual wood notes, and further smoke evident. (800 bottles)"
160,"This lighter, fruity, spicy whisky is not for peat lovers. Bourbon, whisky, and rum casks were used for finishing, resulting in a nose of rich honey, golden syrup, peach stone, apricot, honeydew, coriander seed, ginger, and white pepper. Citrus, butter fudge, dried and tropical fruits, rumbling spices, and tangy orange create a creamy combination, from which a familiar Johnnie Walker identity suddenly snaps into place. (Travel Retail exclusive)"
161,"An entrancing nose shows ripe apples and peaches, blueberry pie, earthy and saline peat, and fresh citrus. Although light, the palate has an enjoyable fruity character with layers of grapefruit, candy apple, kettle corn, wild berry, and orange Creamsicle. Water does not benefit this—drink it as-is. Aged at least 5 years. (Total Wine & More)"
162,"A delicate blend that manages to express richness in its simplicity. Perfumy and floral on the nose. On the palate, coconut, marzipan, and golden raisin flavors show the grain component, but they’re buttressed by chocolate, strawberries, and orange oil, leading into a satisfying oak and chocolate-orange finish. (Total Wine & More)"
163,"Great King Street was our Blend of the Year two years ago and Compass Box wondered where to take it next. So they have released two versions, asking customers to decide between them by voting online. The other one is peated and will probably win easily, which is a shame, because this is a more subtle and better whisky. Sherry, syrup, honey, apple, and sultanas are all here, but nuanced. Delightful. £30"
164,"Originally created by Lombard for the Freemasons, this has a flavorsome nose of dark chocolate chip cookies, light spices, coconut macaroons, malt, and bright, fresh bananas. The palate is light and unobtrusive, with honey and malt reinforced by the spices running underneath. A shift develops to some later cocoa and chocolate notes, and the mocha finish fades gracefully. A finely balanced concoction, and you will rarely find this quality and flavor for the price"
165,"A limited edition blend with more than 75 percent malt content, containing grains from 1978 and 1979, and malts from 1982. A genteel nose exudes white chocolate, vanilla slice, butterscotch, fresh apricots, and salted pecans. Commanding and rich, it luxuriates in bitter orange, ripe apricots, marmalade, dairy toffees, cinnamon, and raspberry, with a finish of Seville orange rind. It’s a little blander with water, toward baked lemons and barley sugar, so resist and take it as it comes. £190"
166,"Deep on the nose and palate, with notes of dark rum, dried fruit, roasted nuts, dark chocolate, cinnamon, polished leather, charcoal, and a suggestion of peat.  Dry, resinous finish.  Bonus points for intrigue.
"
167,"Double-aged with a finish in Ilegal reposado mezcal casks, it has a zesty nose with plenty of bite: lime, cut grass, new bookbindings, grapefruit juice, and lilies. The glutinous mouthfeel has more mezcal influence, with dull fruit, herbal features, caramel, a snarl of pepper and chile flakes, and lengthy smoke and spice to finish. A bold creation, but I’m going to need more persuasion that this enhances the scotch."
168,"The port cask finish wraps the toffee and baked orange in an extra layer of richness. There is subtlety in the aroma of the port notes, with red cherry and dried cranberry mingling with well-integrated spices in the background. Richer dark caramels infused with red fruits, including cranberry, red currant, and pomegranate, chased by feisty spices. The finish has concentrated red fruit juices, nougat, and long-lasting spices."
169,"Kyloe is the old Scots name for the famous hairy, horned breed of Highland beef cattle, better known in Scotland as a Heilan coo. This bright NAS whisky has aromas of fresh orange, lemon, grapefruit, and light muscovado sugar. It is soft and sweet to drink, with lemon sherbet notes, some fruity piquancy, and rich butterscotch, with some peppermint creeping in on the finish."
170,"Intended to recreate the spirit of James and John Chivas, this blend uses high proportions of Longmorn and Strathisla malts. The nose has green apples, peaches in syrup, blended honey, and oat flapjacks. A soft and light opener of orange sherbet, melon, and dried apple. Dilution yields a delicious creamy texture with more assertive citrus flavors and bitter peel showing by the end. A distinctive character from the regular 12 year old, but this should be regarded as an equal. £40"
171,"The assured Scotch whisky that became one of the classic blends. Dry and sweet, with a nose of vanilla sponge, fresh cut flowers, and marzipan over a malty base. Pleasingly oily, with flavors of burning butter, malty toffee, and cake mix, with gentle spices and hints of chocolate appearing the longer you hold off swallowing. The glossy mouthfeel makes this feel like an everyday luxury. A finish of spent spices, cocoa, hazelnut, and a waft of smoke brings it home."
172,"Consummately blended from more than 30 different whiskies, this has chewy Highland toffee, freshly-baked banana muffins, shelled walnuts, and faint chocolate orange notes. A smooth, full mouthful of blossoming orange, thick malt, heather honey, dabs of espresso, and milk chocolate. The malty Horlicks flavors prevail to the end with some attractive, shimmering spices. Note the higher strength here, though the 45% malt content is consistent across the range."
173,"More rounded, with greater depth when compared to the 8 year old offering. Not as medicinal and less sweet, more toffee and less honey, with more dried spice interwoven throughout. The herbs are still there, along with licorice root. Dry, burning-ember finish. Nicely balanced, which makes it my favorite of the three.
"
174,"Imagine your nose hovering inches above well-dried peat, then throw in salted nuts, brittle toffee, and an intensification of vanilla pods. This feels more rounded and balanced than earlier bottlings and is the better for it. Warm, sweet caramel, juicy orange, and lime zest are shot through with peat, the rising smoke driving you back while pepper and ginger give close support. The most improved of the Wemyss three, but a bit more heft in the composition wouldn’t go amiss. £37"
175,"Now listen up class, it’s time for your next whisky lesson. Here the educational blend contains 20% very old single malt, which delivers a nose of citrus peel, honey, air-dried ham, and some spices in the background. Quite delicious, with orange, vanilla sponge, raisin, cremola foam assuaged by plain chocolate, and Black Forest gateau. This concoction is further tweaked three ways to complete Reference Series II. A truly great drink in its own right that makes learning fun again. £56"
176,"This is bursting with barley, sweet oak, and all-butter shortbread. There are charcoal sticks too, which add a cool smoke note. The taste is like a warm hug on a cold morning; flavors of butter toffee, orange, poached pear, and ginger snaps, which combine to keep that deep smoke in balance. The harmony continues into the lengthy finish with flavors of citrus, melon, and ground ginger."
177,"Nutty nose, with toasted oak, savory peppered meats, and traces of wood smoke. It starts off deceptively lightweight, with sweet juicy mandarin before a takeover of sharper citrus elements. Honey and gorgeous silky caramels slink by, chased by a gentle swish of spice. Light pepperiness with chocolate notes ushers in an aromatic finish. A tasty blend, but the nose will not be everyone’s choice."
178,"With a bottle shape that makes you want to go bowling, this blend has admirable balance between the fruit and the smoke on the nose. The bonfire smoke is matched with aromas of tarte tartin, pecan nut, red apple, and sultana. Smooth and molten in the mouth, it has more weight and body than its older brother. There is citrus, apples, and the late arrival of baked spices, cookie dough, and mint chocolate on the finish."
179,"The last eighteen months have been very good ones for blended and blended malt Scotch whisky. Shackleton and Compass Box set out in a fresh direction and there were top releases from the likes of Johnnie Walker and Blue Hanger. So quality brands from the likes of Grant’s have to rethink. This is well made, tasty, balanced, complex, and drinkable without water or a mixer. But shouldn’t a premium whisky justify a strength of 46% ABV? I think so. £50"
180,"Wow! A noticeable step up in quality than Ballantine’s Finest (see below) with a perceptibly higher malt content. After Eight mints, Rolo toffees, spring florals, clean and creamy, plus some wood combine to produce an appealing nose. One sip confirms that this is gorgeously honeyed, layered, thick, and creamy, with heather honey, sweet oak, and ripe fruits, especially orange and mango. The finish is short, drying, sweet, and the only weak spot in an otherwise decent composition."
181,"Let me introduce you to infinity blending. 88 casks were blended and married in 88 casks for 6 months, then blended with another 88 casks. Half is bottled, and half retained at Strathisla’s Royal Salute vault for the next batch. The process is as fascinating as the whisky. Caramel, toffee, green apple, Jaffa orange, and vanilla pod aromas. Dark sweetness, fresh orange accents: polished, juicy, and thirst quenching, though the brilliance lies in the amaranthine finish. (Global Travel Retail only)"
182,"Glentauchers distillery is another Chivas Brothers workhorse located deep in the Speyside countryside. Through the aromas of honey, caramel, and vanilla peek barley stalks, hard pears, and hints of Cadbury buttons. The flavor opens sweet, with red berries and Parma violets. Although this is intended to follow a lighter style, it’s very flavorsome, with creamy vanilla, poached pear, and dried apple. A juicy finish with fruitiness oozing from the cheeks."
183,"This second release celebrates Walker’s rare fruit character using 29 handpicked casks combining regional styles, aligned to the 2010 Director’s Blend. Aromas of pear and fresh apple layered over tangy, sugar-tossed dried fruits, pineapple, deep orange oils, and dry peel. Taciturn smoke. Creamy butteriness with red apple, raspberry, and sweet orange yields to soft, chewy pear skins, honey-drizzled Turkish delights, and charred paper. An outlier of JW character but important to contemplate how this adds context to the entire collection. £550"
184,"One might assume this to be just a smoky version of the standard Famous Grouse (with its honeyed malt, bright fruit, and floral demeanor). But, in addition to the enhanced smoke (which caringly adds a new dimension without smothering the other flavors), there also seems to be more malt body and oak spice in the mix, which I think takes Black Grouse to a higher level than Famous Grouse. The grain whisky contributes a “drinkability” component, making it a great introduction to smoky whiskies."
185,"Sherry cask influence makes itself known through cooked plums, chocolate, dried figs, raisins, hazelnuts, and sugared almonds on the nose. The palate is also sherry-forward and sweet, featuring dried and stewed fruit, hazelnut, almond, dark chocolate, and light gingerbread flavors. There’s a youthful heat, and the finish wraps up with bitter oak and a wisp of chocolate-covered raisin. Despite the low proof, a few drops of water help this hang together more evenly. (Walmart)"
186,"Floral and creamy on the nose, like meringue perfumed with orange-blossom water. The palate is straightforward: vanilla, bubble gum, rose petal, orange blossom, and crème brûlée, with a short, light finish of toasted almonds and chalky vanilla fudge. (Costco)"
187,"This breaks Blue Hanger ranks because it's a traditional blended whisky rather than a blend of just malts. Not that you see the joins. This is a rich, powerful, clean, and crisp whisky with a delightfully balanced flavor of pureed fruits and an unusual, almost menthol quality. Smoke wanders in and out to complete the experience. (The Whisky Shop exclusive.)"
188,"The youngest age statement Bull in the fold, this one has shredded citrus peel, fleshy grapefruit, candied orange peel, and lemon meringue pie. Soft fudge, honey, tart lemon, and buttery pastry with a nip of peppery spice under the tongue complete a satisfying combination. A delicious everyday kind of dram, and I preferred this expression’s brightness and attack of the flavors over the 12 year old."
189,"Justerini & Brooks sold scotch in the U.S. before Prohibition. This light, Speyside-style blend has grassy notes, with crystalized lemon slices, Bramley apple peel, woodsmoke, and almonds. Light and sweet on the tongue, it unpacks lemon peel, satsuma, juicy watermelon, pepper, and aniseed. Grain whisky and herbal notes creep in late and permeate the finish."
190,"Stick your snout into aromas of rich tea biscuits, honey, tangerine, toasted almond chips, candied pineapple chunks, and a prickle of spice. It’s youthful but integrated, the grain domineering over the malt. A likable flavor sequence begins with lovely honey sweetness, honeydew melon, and pear, before a citrus phase, followed by an ominous wave of spice which vanquishes the sweet fruits, leaving a swift, spicy finish. (12,000 bottles for U.S.)"
191,"Behind its comic book label, this pallid 3 year old, 40% malt content whisky has a nose of vanilla frosting, fudge, caramel, whole lime, orange peel, fresh apple, nougat, sesame seed bars, and faint notes of ground black pepper This works beautifully in long drinks, with its light character of dominant lemon flavors, vanilla, fizzy sherbet, and traces of spice. No messing around: it’s sharp, tangy, zingy, and refreshing. (12,000 bottles for U.S.)"
192,"This is a sharp dresser, with a firm, solid mouthfeel and an altogether finer and more focused taste than Shieldaig Classic (see
below). It’s not coastal or earthy particularly, either. Instead the flavors are softer and built around mocha, smooth creamy toffee, and some soft fruit, including a touch of overripe banana and melon notes. The savoriness this time comes from a touch of pepper rather than salt."
193,"This is like listening to a quiet and understated musician and slowly starting to realize that there are all sorts of clever
nuances just beneath the surface. This evolves from a floral and welcoming nose, through a saline note and on to pepper and a Highland earthiness, but wrapped up in a rich, honeyed body. A nice balance between the ruggedness and sweet softness. All rather pleasant."
194,"I had to double check that price. My feelings are well recorded on premium whiskies bottled at 40% and if you were to ask me whether the whisky's worth the price tag, the answer's no. That doesn't make it a bad whisky, though; far from it. It has a light, dusty, and fruity nose reminiscent of raspberry sherbet, and on the palate there is trademark smoke, and pleasant toffee and treacle. Good, but in stellar company here. (Travel Retail only) Price is per liter."
195,"Overlook the fact that this bottle is saddled with one of the most impenetrable closures known to mankind. Unperturbed, this blend flaunts its big toffee aromas, whole almond, and floral top notes. With light fudge and gentle orange influences, it is smooth and rounded, top loaded with spice and hazelnut at the front of the mouth. More grain character and roasted spices show through on the finish."
196,"This adheres to the rules laid down by blender Keith Law. The nose yields mint toffees, cereal notes, butterscotch, and whole peppercorn. Juicy orange, with elements of burnt orange, dark toffees, and a pleasant balance of sweetness form the palate, followed by a wave of peppery spices and late dashes of dates and sultana. The finish has more peppery spice and peppermint. Obey the Law."
197,"A toasty and spicier interpretation of an 18 year old blend. Toffee, salted pecans, Dundee cake, and sultana aromas. A beautiful, thick texture replete with ripe red fruits, cardamom, fennel, and star anise. Caramels drift past on a river of spice, wreathed in a fine layer of smoke, then oak, mixed nuts, and cracker bread. The fruity sweetness is momentary and fleeting, leaving the front of the mouth loaded with spice."
198,"It begins innocently enough. Ripening strawberries, cotton candy, and fudge on the nose, but with an undertow of devil-may-care spiciness. Soft mandarin citrus, vanilla fudge, sponge cupcakes, and a decent wedge of malt form the core of the palate; the spice is disappointingly mild considering the potential of the first sniff. Sweet and syrupy finish. Still, solid enough to make your world better at the end of a hard day."
199,"This blend delivers just enough peat turf to live up to the name, without alienating the peat phobics. A pleasant nose of chocolate hazelnut, pecan nut, dried tropical fruits, and gentle wood and peat smoke.  Orange, toffee, banoffee pie, Kola Kubes, and a little spiciness. Plenty of flavor even if the mouthfeel is a little thin. A short finish with a spicy flare and a few lingering smoky embers. (Total Wine exclusive) Price per 1.75 liter"
200,"Delicate, yet nicely balanced. Notes of peaches and cream, meadow flowers, subtle berry fruits, soft vanilla, and light honey. Gentle, pleasing oak finish. Nice dovetailing of flavors and very drinkable. A good example of a lighter-style mature blend, and quite the antithesis of the Johnnie Walker Blue Anniversary bottling reviewed above. A pleasing warm weather scotch, or perhaps before dinner as an aperitif. 
"
201,"What lies beneath the surface of Dewar’s? Here, the blend is finished in virgin and first-fill bourbon casks especially charred, then scratched to enable deeper penetration. Thick wedge of vanilla and fudge with oaky accents, a dusty mouthfeel pulling in vanilla, light lemon, milk chocolate, and sweet toffee, ending on a cocoa powder note. Compared with regular White Label, this is less obviously sweet and creamy, adds complexity, and opens a bourbon connection. Certainly, this is up to scratch."
202,"This has enticing flavors that will meet with the approval of the regular Grouse drinker: heady florals with fresh peach, light honey, pecan, and underlying caramel. The palate is soothing with vanilla and tangerine, hallmarks of Grouse, plus rosewater, almond, and whispering spices. Gently does it, that’s the key to this: kick back and relax. This showcases the Midas touch of Gordon Motion’s skills in liquid alchemy. A great value blend to boot. £22"
203,"The blended malt in the series is drawn from select aged Highland single malt whiskies chosen by Stewart Laing. A luxuriant nose of rich, runny caramels, deliciously malty, and balanced with notes of dried apple, mixed peel, and pecan shells layered over warm spice. Smooth, with a light to medium body showing toffee apple, raisin, and caramel, tasting fatter with time and yielding pineapple notes. A finish of soft, sucked toffees and tingly spices. A top-class, well-executed drink."
204,"The sixth incarnation of Master of Malt’s cult blend of closed distillery whiskies contains Port Ellen, Brora, Mosstowie, Glenisla, Imperial, Caperdonich, and Glen Mhor with grain whisky from Port Dundas. Apples and sugar browning in a pan, smooth driftwood, and dairy fudge, but with the Glenisla it’s noticeably smokier than earlier batches. Sweet blancmange initially, before it soars to a tangy, spicy peak; the peat smoke backed by white pepper, ground ginger, peanuts, and florentines. Smokin’ liquid history. (534 bottles) £350"
205,"A new oloroso-forward Chivas positioned to split between the 12 and 18 year olds? I got this. Refined and inviting nose of lemon pith, black fruits, and Kola Kubes. The velvety texture is wonderfully smooth, redolent of an apricot custard Danish, lime zest, raisin, currant, mixed peel, and walnut, with a growing bitter-lemon note. Quite unique finish, like sucking on lumpy Spanish lemons speckled with spices. (LA, NY, Miami, Chicago, Northern California, but will go national)"
206,"A pale primrose of a dram. Waxed lemon, salted butter pats, white peach, honey, and the wood smoke from green stems. A sip brings Highland toffee, honey, chocolate fudge, rich tart fruits, with dried apple, raisin, mixed peel, and a late appearance of malt, pepper, and smoke. It wraps up with a glossy, clingy finish, but it’s short. Experimenting with water nudges peanut brittle, pralines, and fudge to the surface. Overall, a very decent drop."
207,"Banana chips, peppercorn, coriander stalks, dry grasses, cracker bread, faint lemon zest, butterscotch, and green apple; more grain than malt character evident. With watery citrus, butterscotch, walnut, lemon peel, and caramel initially, it’s lighter-bodied but balanced. It develops more spices and a fine texture as it dilutes, lifted by cinnamon, caramel, and gentle spices. Overlook the hard-to-love nose, and this is tasty both neat and over ice."
208,"Buttercream, fresh-cut bread, taffy candy, citrus, and a distinctive hoppy note from the craft ale casks. Charmingly smooth but quite light bodied, there is warmed bramble fruit, bitter grapefruit peel, and plenty of peppery spice. This stands up well to other ale-cask finished whiskies, but in the Grant’s range there are better whiskies with more to offer."
209,"One of two blended whiskies vying to be the official next Great King Street release, this is the peated version and it's gustier than the original, with less citrus and more peat. Indeed, it's impressively full-flavored, with peat in the driving seat and ginger cake, lime, and dark chocolate, biscuits and pepper in the mix. Best of all, unlike far too many Scotch whiskies this year, it doesn't use peat to hide immature spirit. £30"
210,"Vanilla laced with spice, fondant icing, grapefruit peel, and lime zest leave the vanilla and floral notes lower down the pecking order. In the mouth, grapefruit and orange dominate the vanilla, yet the mouthfeel is thinner and the acidity tips toward the taste of bitter orange seeds. A lingering bitter orange finish."
211,"Honey, fudge, a little melon and white grape, dry roasted spices, and peppercorn, but noticeably less fruit than the age-statement varieties. The palate has pulpy white melon, lemon, lime, and some grapefruit acidity, before sweetening with honey. Quite tart at times, some peppery spice collaborates before the vanilla cream and green fruits take charge. A clean, juicy finish of lemon zest and mild spices coats the throat."
212,"Master of Malt has accumulated quite a trophy cabinet for their work on blends. The nose is inviting, with butter toffee, Bramley apples, fennel seeds, cut lawns, and chocolate-covered oat biscuits. It’s a pretty smooth proposition, serving up caramel maltiness, stewed apple, and orange and grapefruit pith, with just a hint of sharp lemon freshness to open up with. The ginger finish is zappy but short. A solid, everyday blend."
213,"Thick, viscous golden syrup, digestive biscuits, and Almond Joy bars underpin some soft, peaty aromas. It’s rather an appealing combination. Satin smooth on the tongue, with lemon, lime, orange, and dried pineapple, but enough malt to keep things interesting. The finish riffs on a ripe lemon theme accompanied by spicy stardust. For the few extra bucks, the more mature component whiskies make for a richer, fuller, and more satisfying experience than The Antiquary’s red-labeled bottle."
214,"Deeper and darker when compared to its younger siblings, but with the same personality. Drier, especially on the finish, with added oak resin, espresso, leather, and tobacco. Bonus points for character.
"
215,"Good weight to this blend. Creamy and mouth-coating on the palate, with a nice malty, honey-tinged backbone. Bright fruitabounds, with golden raisin, lemon meringue, peach, and a hint of pineapple. Notes of creamy vanilla and gently nutty, through to its soft finish. 
"
216,"How does this long-established blend shape up on its own without a ginger or soda mixer? Fresh apple juice, a twist of lemon, dried orange peel, peppercorn, cracker bread, and a vegetal spicy note. It gets into its stride with delicious apple, gentle fudge, and good-tempered spices, with cracked black pepper and a little sourness to finish. Mild, agreeably smooth, without any bombast or hullabaloo; it just blends in."
217,"An odd non-age stated blend that uses a solera system to get a drop of the original 1958 blend into the mix. The blend is then finished for four years in oloroso casks. It's a bit of blending gymnastics. Very sherry influenced, with marionberry jam, malt, salt, and oak. The integration and flavors are nice, but it all feels a bit muted. A medium length and dry finish shows off some of the younger spirit in the mix. (U.S. only)"
218,"The second generation of The Spice Tree. (This new expression sports a much larger tree image on the front label.) While the first bottling used inner French oak staves to impart additional oak influence, this one uses French oak barrel heads. This new bottling is also bolder, displaying more oak -- there are more dried spice notes and it’s more viscous and clinging on the palate. (It’s also less elegant than the original bottling.) Notes of sticky toffee, vanilla fudge, bramble, and red currant give way to oak resin, cinnamon, clove, nutmeg, and subtle lemongrass. A tactile, somewhat resinous, polished leather finish wraps it up. A nice whisky, but I really enjoy the subtler, more elegant nature of the original bottling better."
219,"Master blender Graham Coull hand-selected a variety of aged stock and cask types for this new global addition to the Label 5 range. Vanilla, dark fruit, and gentle spices on the nose, but the appeal lies in the beautiful, clingy mouthfeel. Warm marmalade, nuts, and oak flavors with whispers of cinnamon and clove combine to produce a creamy, smooth dram. It builds and builds but never feels like it fully arrives. The finish is drying with dampened-down spices. €40"
220,"With whiskies aged for 5 years in bourbon barrels, this has a pleasant nose of dark toffee, vanilla, toasted whole grain bread, and light spices. The mouthfeel is a bit flabby; chocolate and toasted spices, especially cinnamon and pepper, are quelled by malty caramel, baked orange, and touches of old leather. The finish is dry, malty, and slightly nutty, with a hollow core of spices. A bit dour overall."
221,"A very different whisky to its unaged namesake, and most unlike any of the other blends tasted for this issue. That’s no bad thing.
This is less sweet than most blends, with tobacco leaf and ashtray to the fore, and a dusty, grainy note with a touch of oak, grape skin, and sweet heather. That said, not a lot of evidence of the 12 years in cask."
222,"This blend has been a Whyte and MacKay whisky for 25 years. The nose has spice, toffee, wheat biscuits, and smoke, but the combination feels a little benign. The palate is jammy, lightweight, and middle-of-the-road. With a backbone of grain, there are flavors of graham cracker, chocolate ganache, well-baked fruitcake, banoffee pie, smoke, and dried peels, with a burst of spices on the finish."
223,"It’s Double Wood, Jim, but not as we know it. Here, the blend has been given a Madeira finish, presenting an appealing nose of spun sugar, golden raisins, cinnamon, nutmeg, and hazelnut. The blend has a creamy texture, with good weight to carry the flavors of orange peel, mango, and dried pineapple, leading to a zesty spark on swallowing. Wood spices, nuttiness, and lingering toffee make for a satisfying finish. The extra Madeira maturation is understated and perfectly judged."
224,"Earthy, with corn husk and biscuit dough on the nose, along with cooked apples, white pepper, and a light spice. Honey, almond meal, toasted marshmallow, and a hint of lemon make for a simple, somewhat grainy palate. It finishes short and sweet, with some cinnamon heat. (Costco)"
225,"Brian Kinsman’s new creation was inspired by their founder William Grant, with a remit to create a malty blend of character. Digestive biscuits, malt, honeycomb, and confectioner’s chocolate melted over a bain-marie. It’s a satisfyingly rich dram, well-structured with a great mouthfeel that wanes with natural dilution. Banoffee pie, caramel biscuits, and maltiness deepen to flavors of coffee bean and molasses, leaving a teeth-coating finish of black coffee. (UK and France only) £18"
226,"The nose is grassy and light, with some youthful heat, orange blossom, vanilla, coconut, and cedar. A clean palate of lemon, orange, vanilla, banana, and toasted coconut leads into a simple finish of oak and more vanilla. Basic, but well balanced. (Total Wine & More)"
227,"How can you really compare this to a quality blend priced under $50? It's hard not to view this as a victory of style over substance, and I object to premium whiskies being just 40% ABV, but nevertheless this is excellently made and the blending of whiskies over 21 years is exemplary. It's rich and viscous with light peach and plum notes and a pleasant earthy base."
228,"At this age, there are more linear displays of fruit and sweetness than the 8 year old. Behind the tarte tatin, butterscotch, light pepper, and wood spice is a green, verdant nose of wet foliage and public lawns in the morning mist. It has a light to medium-weight texture of sugary butterscotch, strawberry, and raspberry developing around an oak and malt core. When the fruit flavor withers, there is a drop off in flavor, leaving a malty melee. £48"
229,"Master of Malt is an online whisky company that seems to try its hand at most things and is bringing a fresh irreverence to the world of whisky. This was created in partnership with the bass guitarist of British rock band Athlete, and it's rather good. Sweet and rich with toffee, orange chocolate, and honey, it's another blend with a lot to say for itself.  £55"
230,"What a surprise! Really thick and malty for a blend (there’s a high malt content here for sure), and also nicely mature for 8 years old. Great balance too, with the island aggressiveness tamed by a rich, malty elegance. Delicious honey, toasted oak, firm peat, dark chocolate, and glazed citrus meld nicely with the malt, leading to a honeyed, lightly-peppered finish. Very enjoyable."
231,"A solid presence in the range, the strength and malt content continue to mark these out over their contemporaries. Grapefruit peels, sliced juicy orange, and lemon butter icing on the nose. The palate is thinner than others in the range, with crystallized orange, fudge, plus cardamom and mild pepper. The finish of sugared satsumas is boosted by a long lasting trail of spices."
232,"The eldest son of the 5th earl of Wemyss, Lord Elcho was supportive to the Young Pretender. Proportionally, more sherry at play here. Plum skin, chunky raisins, blackcurrant, and fainter sweetened cocoa and coffee bean notes. The palate is a little hollow at first, then proffers barley sugar, rich shortbread, baked apple, linseed, and toffee, though the flavor development plateaus. Water picks out sweet clementine notes. Given the choice of expressions, I prefer the vibrancy of the Young(er) Pretender. £26"
233,"In terms of bang for your buck this has always been one of the very best blends, punching well above its weight. Whether you feel the same about this revamped version depends on how much you want a peat punch. Previously rough and gutsy, this is softer, with more licorice and treacle but also more younger sappiness. Smoke has the last say but it's like an aging sportsman, replacing energy and attitude with guile and subtlety."
234,"A spicier character to represent 1920s Bombay (now Mumbai) yields an intriguing nose of cumin, dried apple, cardamom, and roasted coriander seed, walnut shells, dry meat from the tandoor, and aged cigars in Spanish cedar. A rather gluey texture with a dominant cinnamon note, interjected by spicy fruit from the European oak and gentle cloves. A short finish leaves a reverberation of spices and chicory root. The aromas are wonderful, but it comes unstuck with the mouthfeel. £75"
235,"This batch of 1,420 bottles was created with slightly older malts, a 16 year old grain from a refill hogshead and a 14 year old Lowland malt disgorged from an Islay cask. Sugar mice, dried hay, sharpened pencils, hints of lemon, with subtle smoke like the burning of a distant stubble field. Sweet cereal notes, black pepper, and ginger parkin build to a conclusion of Brazil nut, mocha, and chocolate ganache. (UK & Netherlands only) £45"
236,"A blend of three different single malts. Its name derives from the fact that the whisky is aged in American oak bodies with French Oak heads (a cross of both oaks). There’s no age statement, but the whiskies are all older than ten years. This is a gentle, subtly complex, somewhat lithe, easy drinking whisky (and with less oak spice than its predecessor, The Spice Tree). People think whisky is an after-dinner drink, but I think this would make a great aperitif because of its delicate dry spice notes and light body. I’m picking up evenly-proportioned notes of vanilla and coconut, with more subtle notes of clove, anise, and delicate fruit, all wrapped up in a gentle, malty body. A very versatile whisky. 
"
237,"Hunter Laing blended this grand Highland whisky: an 85% malt-driven recipe of more mature stock. I liked its aromas of dripping caramels, dry peats, soft hay, and faint pepper balancing the resilient smoky character. There’s the juiciness of mandarin oranges, too. The blend is smooth and well-textured, beginning with sugared orange, malt, vanilla, and toasted spices which glide into clove and black pepper. The drying finish has spicy pepper, ground ginger, and lasting citrus."
238,"Slabs of plain chocolate, Kendal mint cake, vanilla essence, and malt with a dry, dusty character makes this suggest itself for an after-dinner occasion. The palate is very sweet; sugarplum, caramelized brown sugar, flapjacks, bramble, and pink rhubarb before it finally coagulates into a thick Horlicks maltiness. There’s an impressive trajectory of flavor here, though the mouthfeel is nothing special and dilution doesn’t enhance it to any real degree. Dry and malty finish."
239,"Molten blossom honey, almond milk puddings, and Parma violets interlaced with a fine, drifting chimney smoke compose the nose of this new blend from William Grant & Sons. Smooth, burnished orange and honey cough drops initially, then the flavor develops through more pronounced citrus and gentle spices to achieve a sweeter climax. The grain is quite evident in the harmony of the blend. The finish is long, more beeswax than honey, the sweetness finally depleted. (Travel Retail only) £20"
240,"The Famous Grouse has been extended in various directions with varying degrees of success but for my money, this is the best and most logical. This is the version where the smoky, oily, spicy, and peaty notes of the original blend are brought more to the fore, but this works because married to it are grape and melon notes that ensure the Grouse lands softly."
241,"Floral aroma with a lively array of orchard fruit and citrus.  Underlying notes of soft honey and vanilla.  Good malt foundation for a blend.  An elegant and breezy ""anytime"" dram.
"
242,"Described as “an exotic mix of bananas, mango, pitaya, pineapples, guava, passion fruit, and raisins, all balanced perfectly by deep charred peaty notes.” It sort of is, but this isn't a soft, silky smooth dessert whisky; it's Rod Stewart singing Air Supply's “All Out Of Love.” It's soft and gentle, but the gravel may put off the softies, and it's far too bland to appeal to fans of Maggie May. Between a rock and a hard place."
243,"This is the foundation stone of the whole Label 5 range and it’s a solid, reputable blend that works neat, with a rock of ice, or in cocktails. The digestive biscuits, dark walnut toffee, and fruit salad aromas concede to a rather inauspicious palate of burnt orange, malt biscuits, charred oak, and ground ginger. It’s lively through to its malt and spice conclusion."
